,Sample,Temperature_K,fH2,fH2O,SiO2_MF,CaO_MF,MgO_MF,Al2O3_MF,FeO_MF,Na2O_MF,OH_Conc_ppm,OH_Conc_ppm_unc
0,F1-A1,1673.15,0.678,0.156,0.484637301,0.408216929,0.065795495,0.038587228,0,0.002763047,226.4545345,30.26228505
1,F1-A3,1673.15,0.678,0.156,0.505512424,0.155303758,0.27769289,0.051429757,0,0.010061172,323.0332475,37.44363436
2,F1-A2,1673.15,0.678,0.156,0.489599376,0.261338551,0.152010239,0.08984767,0,0.007204164,273.569959,33.20543776
3,F1-B2,1673.15,0.678,0.156,0.466168157,0.217240328,0.238117662,0.072240691,0,0.006233163,307.1382557,38.1307523
4,F1-B1,1673.15,0.678,0.156,0.651423407,0.174110581,0.096429973,0.05727809,0,0.02075795,334.5380582,33.12413657
5,Mount 1 A,1673.15,0.821,0.088,0.49258699,0.263517279,0.152584243,0.088744089,0,0.002567398,207.2083225,25.14104672
6,Mount 1 B,1673.15,0.821,0.088,0.496506908,0.262636603,0.149156512,0.089161668,0,0.002538309,208.6571371,25.02919037
7,Mount 1 C,1673.15,0.821,0.088,0.49347723,0.260680824,0.154257215,0.090179697,0,0.001405033,206.6267238,24.94292482
8,Mount 1 D,1673.15,0.821,0.088,0.493073134,0.264739558,0.151121819,0.089707778,0,0.001357712,209.9561835,25.26585999
9,Mount 2 C,1673.15,0.678,0.156,0.490812113,0.261737803,0.156311304,0.089755483,0,0.001383297,250.9783612,30.29633054
10,Mount 2 D,1673.15,0.678,0.156,0.494292281,0.260207656,0.154793313,0.089079756,0,0.001626994,261.1275687,31.34272594
11,F4 1,1673.15,0.9833,0.0167,0.491505873,0.161943507,0.288222009,0.053241875,0,0.005086736,112.4581768,13.79011726
12,F5 2,1673.15,0.9833,0.0167,0.632007238,0.18358818,0.103047174,0.062155166,0,0.019202241,114.1074269,11.6156944
13,F5 1,1673.15,0.9833,0.0167,0.455866179,0.223561794,0.241482083,0.074288968,0,0.004800977,111.690036,14.09060871
14,F3-A-1,1673.15,0.821,0.088,0.505391849,0.156557468,0.278426698,0.05166091,0,0.007963075,219.8619723,25.49300286
15,F3-A-2,1673.15,0.821,0.088,0.489774689,0.26234568,0.152956545,0.089401857,0,0.005521228,228.6490312,27.73718942
16,F3-A-3,1673.15,0.821,0.088,0.648732999,0.176103211,0.097853147,0.058828097,0,0.018482546,273.6749342,27.26774488
17,F3-B 1,1673.15,0.821,0.088,0.470600157,0.215589877,0.235023348,0.073765101,0,0.005021517,207.6594477,26.87775658
18,F3-B 2,1673.15,0.821,0.088,0.48695433,0.406777236,0.065590929,0.038499157,0,0.002178348,183.726466,24.19144539
19,F2-A 2,1673.15,0.821,0.088,0.651438628,0.172171819,0.097618327,0.058638735,0,0.020132491,247.8148579,25.38432739
20,F2-A 1,1673.15,0.821,0.088,0.486884467,0.366270598,0.090412828,0.053411046,0,0.003021061,188.3880602,24.8822658
21,F2-B 1,1673.15,0.821,0.088,0.507061919,0.154592093,0.278005412,0.051453486,0,0.00888709,227.5422314,26.31688342
22,06-11-23-2 (small),1673.15,0,0,0.494465957,0.260344977,0.153837358,0.090109408,0,0.0012423,29.9053595,3.876060085
23,06-11-23-1 (large),1673.15,0,0,0.494903171,0.259910909,0.15390427,0.090114571,0,0.001167079,40.12648473,5.005972344
24,13-12-23 2,1673.15,0.9833,0.0167,0.475044936,0.267589254,0.161213193,0.095301976,0,0.000850641,97.68598387,12.92112682
25,13-12-23 1,1673.15,0.9833,0.0167,0.482698914,0.266509556,0.158107095,0.091550614,0,0.001133822,99.86026554,12.18385324
26,F7 1,1823.15,0.676,0.157,0.500435385,0.155105275,0.279286657,0.051331184,0,0.013841499,289.5367031,34.02203872
27,F7 2,1823.15,0.676,0.157,0.484030964,0.367899068,0.066277749,0.075871237,0,0.005920982,237.41359,30.54945268
28,F7 3,1823.15,0.676,0.157,0.489655166,0.257610029,0.153291207,0.088907749,0,0.010535848,296.5584997,36.29847752
29,F6-A 1,1673.15,0,0,0.666964887,0.175040501,0.097228807,0.058560867,0,0.002204938,62.59903316,6.599408372
30,F6-A 2,1673.15,0,0,0.495262722,0.402063413,0.063397448,0.037744866,0,0.001531551,44.93446672,5.881867241
31,F6-A 3,1673.15,0,0,0.512201692,0.155721069,0.277984152,0.052053664,0,0.002039422,51.20404047,5.839369906
32,ADEu 10FeO sample 1,1673.15,0.9834,0.0167,0.499609865,0.252506939,0.146701025,0.088592067,0.008693859,0.003896245,119.3262319,14.67232252
33,ADEu 10FeO sample 2,1673.15,0.9832,0.0168,0.49080408,0.259306485,0.150437224,0.087582671,0.008613406,0.003256133,100.6863251,12.40869706
34,ADEu 20FeO sample A 20um,1673.15,0.9797,0.0203,0.490354031,0.256283494,0.15127323,0.087570203,0.010530427,0.003988615,102.6510444,12.54166711
35,ADEu 20FeO sample B 20um,1673.15,0.9836,0.0164,0.490805396,0.260246398,0.148101361,0.088836207,0.008368469,0.003642168,104.9891989,12.97692216
36,12-12-23 sample 2,1673.15,0.9833,0.0167,0.490745239,0.265761324,0.152473832,0.089209429,0.000113638,0.001696538,145.5797743,18.07863386
37,12-12-23 sample 1,1673.15,0.9833,0.0167,0.483195251,0.268560035,0.154587807,0.092418671,0.000111672,0.001126564,92.63381789,11.78904691
