Sample,Temperature_K,Temperature_K_unc,fH2,fH2O,H2O_ppm_63,H2O_ppm_51,H2O_ppm_mean,H2O_ppm_63_unc,H2O_ppm_51_unc,H2O_ppm_mean_unc,SiO2,SiO2_unc,Al2O3,Al2O3_unc,FeO,FeO_unc,MgO,MgO_unc,CaO,CaO_unc,Na2O,K2O,SO2,Total,SiO2_MF,Al2O3_MF,FeO_MF,MgO_MF,CaO_MF,Na2O_MF,K2O_MF,SO2_MF,Total_MF
Per-fO2(1),2173,21,0,0,2.9,3.5,3.2,3.047950131,3.780211634,2.427962108,47.04,0.21,4.34,0.06,8.38,0.17,37.61,0.1,2.02,0.02,0.01,0,0,99.39,0.409604009,0.022268282,0.061021141,0.488177414,0.018844747,8.44E-05,0,0,1
Per-fO2(2),2166,40,0,0,5.1,6.3,5.7,3.047950131,3.860051813,2.459166525,46.69,0.11,4.39,0.03,8.53,0.08,37.81,0.15,2.07,0.02,0.01,0,0.01,99.49,0.405969622,0.022492321,0.062023763,0.490065133,0.019283331,8.43E-05,0,8.15E-05,1
Per-fO2(3),2134,29,1.28E-05,0.00071,17.5,21.7,19.6,3.940812099,5.142956348,3.239598741,46.61,0.22,4.38,0.05,8.63,0.09,37.79,0.12,2.07,0.02,0.01,0,0,99.49,0.405420167,0.022449178,0.062773517,0.489982536,0.019290285,8.43E-05,0,0,1
Per-fO2(6),2151,23,2.77E-05,0.0015,20.1,24.8,22.45,3.940812099,5.232590181,3.275286247,46.72,0.25,4.31,0.05,8.58,0.09,37.68,0.13,2.07,0.04,0,0,0.01,99.36,0.40686303,0.022116824,0.062484472,0.489140646,0.019313358,0,0,8.17E-05,1
Per-fO2(7),2139,13,8.41E-05,0.0038,34.7,42.9,38.8,4.441846463,6.053924347,3.754330833,46.75,0.22,4.36,0.04,8.71,0.25,37.66,0.1,2.07,0.01,0,0,0,99.54,0.40666749,0.022348297,0.063360036,0.488332489,0.019291688,0,0,0,1
Per-fO2(8),2197,13,2.40E-04,0.0076,54.2,66.9,60.55,5.68594759,7.940403012,4.883134239,46.06,0.14,4.39,0.04,8.66,0.07,38.13,0.13,2.08,0.02,0,0,0,99.32,0.400675144,0.02250262,0.062997857,0.49443902,0.019385359,0,0,0,1
Per-fO2(9),2175,15,1.60E-03,0.018,80,98.8,89.4,6.706713055,9.67729301,5.887062086,46.11,0.26,4.37,0.05,8.21,0.17,38.79,0.06,1.96,0.01,0,0,0,99.43,0.399313648,0.022299779,0.059456811,0.500744601,0.018185161,0,0,0,1
Per-fO2(10),2173,21,1.20E-02,0.027,103.3,127.5,115.4,7.463243263,11.14001795,6.704476117,46.71,0.15,4.43,0.04,8.47,0.15,37.8,0.3,2.11,0.03,0,0,0.01,99.51,0.406102387,0.022694964,0.061581251,0.489885899,0.019653965,0,0,8.15E-05,1
Per-fO2(11),2169,16,4.10E-02,0.018,104.8,129.5,117.15,7.653757247,11.33578405,6.838859554,46.22,0.28,4.42,0.04,7.89,0.13,38.91,0.18,2.12,0.02,0,0,0,99.55,0.399497655,0.022511615,0.057029651,0.501329184,0.019631894,0,0,0,1
Per-fO2(12),2112,17,6.40E-02,0.0078,95.9,118.5,107.2,7.653757247,11.04219181,6.717700499,46.53,0.12,4.45,0.08,7.8,0.08,38.52,0.16,2.15,0.02,0,0,0,99.44,0.403211489,0.022722701,0.056524128,0.497580771,0.019960911,0,0,0,1
Per-TS1,2124,13,8.41E-05,0.0038,31.2,38.6,34.9,4.188078318,5.68594759,3.53093472,46.45,0.16,4.32,0.05,8.87,0.13,37.62,0.1,2.04,0.02,0.01,0,0.01,99.3,0.404982483,0.022193938,0.064671593,0.488930101,0.019055605,8.45E-05,0,8.18E-05,1
Per-TS2,2148,41,8.41E-05,0.0038,34.1,42.1,38.1,6.053924347,7.940403012,4.992494367,46.5,0.11,4.36,0.05,8.56,0.09,38.01,0.18,2.08,0.02,0,0,0.01,99.51,0.40390821,0.022315998,0.062178882,0.49215858,0.019356869,0,0,8.15E-05,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
